"","Incident","Location","Address","Lat","Long","Occured","Disposition","Notes","temp_inc","lat_long","Latitude","Longitude"
"13","suspicious activity","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-01-23 21:45:00,NA,"iitpsd responded to msv for smell of marijuana. thank you","NARCOTICS","41.8355909,-87.6249574",41.8355909,-87.6249574
"14","injured/sick person : emergency medical transport/ambulance ","illinois institute of technology: main campus","3140 south federal street",NA,NA,2015-01-22 14:26:00,NA,"iitpsd responded to vandercook 2,, for a delayed report of an injured faculty member, which occurred on 01/20/15.","MEDICAL INCIDENT","41.8367645,-87.6291973",41.8367645,-87.6291973
"15","drug/narcotic offense","illinois institute of technology: main campus:: mccormick student village","3241 south wabash ave",NA,NA,2015-01-22 17:20:00,NA,"iitpsd responded to msv for a narcotics offense.","NARCOTICS","41.8355909,-87.6249574",41.8355909,-87.6249574
"16","alarm : smoke","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-01-22 21:00:00,NA,"iitpsd responded to msv for an activated fire alarm. it was found that students had burned food on a stove. thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"17","utility incident : elevator : entrapment","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-01-21 17:18:00,NA,"elevator entrapment at kent college of law.","UTILITY INCIDENT","41.8791377,-87.6422057",41.8791377,-87.6422057
"18","disturbance","illinois institute of technology: main campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-01-21 19:10:00,NA,"iitpsd responded to the 7/11 for an attempted theft report by members of the general public.","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"19","larceny/theft : from motor vehicle","illinois institute of technology: main campus: street locations",NA,NA,NA,2015-01-21 21:15:00,NA,"iitpsd responded to a theft from vehicle report involving an iit student. thank you","THEFT","NA",NA,NA
"20","disorderly / reckless conduct","illinois institute of technology: main campus: street locations",NA,NA,NA,2015-01-20 18:00:00,NA,"iitpsd took a disorderly conduct report involving an iit student. thank you","DISTURBANCE","NA",NA,NA
"21","disturbance","illinois institute of technology: main campus: gunsaulus hall","3140 south michigan ave",NA,NA,2015-01-19 22:10:00,NA,"iitpsd responded to gunaulus hall for a disturbance involving iit students. thank you","DISTURBANCE","41.837081,-87.623923",41.837081,-87.623923
"22","liquor law violation","illinois institute of technology: main campus:: mccormick student village","3241 south wabash ave",NA,NA,2015-01-17 00:53:00,NA,"iitpsd was dispatched to mccormick student lounge east hall for an underage alcohol violation.","LIQUOR LAW VIOLATION","41.8355909,-87.6249574",41.8355909,-87.6249574
"23","larceny/theft : other","illinois institute of technology: main campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-01-17 08:30:00,NA,"iitpsd responded to the mccormick tribune campus center., for a report of a theft that occurred on 01/16/15. thank you","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"24","injured/sick person : emergency medical transport/ambulance ","illinois institute of technology: main campus: stuart building","10 west 31st street",NA,NA,2015-01-14 11:25:00,NA,"iitpsd responded to stuart building, for a report of an injured employee.","MEDICAL INCIDENT","41.8387343,-87.6273991",41.8387343,-87.6273991
"25","utility incident : elevator : entrapment","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-01-14 15:20:00,NA,"iitpsd responded to an elevator entrapment at kent campus. thank you","UTILITY INCIDENT","41.8791377,-87.6422057",41.8791377,-87.6422057
"26","injured/sick person : non-emergency medical transport","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-01-12 14:30:00,NA,"iitpsd responded to iit tower for a non-emergency medical transport of a shimmer student.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"27","drug/narcotic offense","illinois institute of technology: main campus: residential buildings: mccormick student village","3241 south wabash ave",NA,NA,2015-01-12 15:30:00,NA,"iitpsd responded to msv for a narcotic’s offense. an iit student was arrested and charged with possession of narcotics. thank you","NARCOTICS","41.8355909,-87.6249574",41.8355909,-87.6249574
"28","robbery : strong-arm hand/fists/feet","illinois institute of technology: other: off campus location",NA,NA,NA,2015-01-09 00:20:00,NA,"iitpsd took a strong armed robbery report involving an iit student-off campus.","ROBBERY","NA",NA,NA
"29","injured/sick person : report only","illinois institute of technology: main campus: machineryhall","100 west 33rd street",NA,NA,2015-01-09 13:41:00,NA,"iitpsd responded to machinery hall, for a delayed report of an injured abm employee, which occurred on 01/06/15.","MEDICAL INCIDENT","41.8348113,-87.6291272",41.8348113,-87.6291272
"30","alarm : fire","illinois institute of technology: main campus: fraternity/sorority:kappa","3330 south michigan ave",NA,NA,2015-01-11 16:42:00,NA,"iitpsd responded to a fire alarm at kippa phi delta. the alarm was determined to be false.","ALARM","41.833916,-87.6237408",41.833916,-87.6237408
"31","accident : motor vehicle","illinois institute of technology: main campus: carmen hall","60 east 32nd street",NA,NA,2015-01-11 21:11:00,NA,"iitpsd vehicle involved in minor vehicle accident. thank you","ACCIDENT","41.8366771,-87.6246551",41.8366771,-87.6246551
"32","larceny/theft : shoplifting","illinois institute of technology: main campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-01-08 16:40:00,NA,"iitpsd responded to the iit book store, located in mtcc, for a theft report. thank you","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"33","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-01-06 15:30:00,NA,"iitpsd conducted a non-emergency medical transport for an iit student.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"34","alarm : fire","illinois institute of technology: main campus:: mccormick student village","3241 south wabash ave",NA,NA,2015-01-06 21:30:00,NA,"iitpsd responded to msv for an activated fire alarm. it was found that a student had burned food in a microwave. thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"35","administrative information","illinois institute of technology",NA,NA,NA,2015-01-05 14:35:00,NA,"iitpsd was notified of the unauthorized posting of an iit student’s personal information.","OTHER","NA",NA,NA
"36","accident : motor vehicle","illinois institute of technology: main campus: street locations:","31st  and  south state str",NA,NA,2015-01-05 18:00:00,NA,"iitpsd responded to 31st/state st. for a motor vehicle accident involving members of the general public. thank you","ACCIDENT","41.8382957,-87.6267733",41.8382957,-87.6267733
"37","utility incident : electricity","illinois institute of technology: main campus:technology park","3424 south state street",NA,NA,2015-01-02 16:10:00,NA,"iitpsd responded to a call at tech park lsr for a supply fan.","OTHER","41.8325159,-87.6271296",41.8325159,-87.6271296
"38","robbery : firearm","illinois institute of technology: off campus location","3300 south michigan ave",NA,NA,2015-01-02 16:15:00,"police notified notes: iitpsd responded to farr hall for a robbery report that occurred off campus.","iitpsd responded to farr hall for a robbery report that occurred off campus.","ROBBERY","41.8346808,-87.6233541",41.8346808,-87.6233541
"39","robbery : firearm","illinois institute of technology: off campus location","29th   and  south indiana ave",NA,NA,2015-01-02 16:15:00,"police notified notes: iit students were robbed off campus at 29th and indiana. iitpsd was notified.","iit students were robbed off campus at 29th and indiana. iitpsd was notified.","ROBBERY","41.8419756,-87.6219849",41.8419756,-87.6219849
"40","well being check","illinois institute of technology: main campus: state street village","3301 south state",NA,NA,2015-01-03 20:15:00,NA,"iitpsd responded at ssv middle for a well being check. thank you","WELL BEING CHECK","41.8346518,-87.6264893",41.8346518,-87.6264893
"41","disturbance","illinois institute of technology: main campus:: carmen hall","60 east 32nd street",NA,NA,2014-12-31 12:20:00,NA,"iitpsd responded to carmen hall, for a report of a disturbance involving iit students.","DISTURBANCE","41.8366771,-87.6246551",41.8366771,-87.6246551
"42","larceny/theft : shoplifting","illinois institute of technology: main campus: mccormicktribune campus center","3360 south michigan ave",NA,NA,2015-01-01 16:50:00,NA,"iitpsd responded to 7/11 for a theft in progress. offenders were arrested. thank you","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"43","administrative information","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-02-26 20:30:00,NA,"student worker granted access to the barnes & noble store to retrieve her property. thank you","OTHER","41.8791377,-87.6422057",41.8791377,-87.6422057
"44","miscellaneous incident","illinois institute of technology: main campus: gunsaulus hall","3140 south michigan ave",NA,NA,2015-02-25 21:00:00,NA,"iitpsd responded to gunsaulus hall for a smoking policy violation involving iit students.","OTHER","41.837081,-87.623923",41.837081,-87.623923
"45","trespassing : bar notice","illinois institute of technology: main campus: galvin library","35 west 33rd street",NA,NA,2015-02-25 23:36:00,NA,"iitpsd responded to call of a member of the general public refusing to leave galvin library. thank you","DISTURBANCE","41.8346762,-87.6275327",41.8346762,-87.6275327
"46","accident : motor vehicle","illinois institute of technology: main campus: 32nd street","3200 South State Street",NA,NA,2015-02-24 03:26:00,NA,"iitpsd responded to a one car accident on 32nd and state street involving a member of the general public. thank you","ACCIDENT","41.8364189,-87.6267121",41.8364189,-87.6267121
"47","injured/sick person : emergency medical transport/ambulance","illinois institute of technology: main campus:state street village","3301 south state",NA,NA,2015-02-23 02:08:00,NA,"iitpsd responded to a sick student from ssvm who was transported to the hospital.","MEDICAL INCIDENT","41.8346518,-87.6264893",41.8346518,-87.6264893
"48","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus:: 32nd street",NA,NA,NA,2015-02-23 16:00:00,NA,"iitpsd took a delayed report of a hit & run involving an iit student.","ACCIDENT","NA",NA,NA
"49","robbery : strong-arm hand/fists/feet","illinois institute of technology: off campus location",NA,NA,NA,2015-02-23 21:20:00,NA,"iitpsd responded to two iit students who were the victims of an off campus strong armed robbery resulting in arrests. thank you","ROBBERY","NA",NA,NA
"50","injured/sick person : emergency medical transport/ambulance","illinois institute of technology",NA,NA,NA,2015-02-20 14:05:00,NA,"iitpsd responded to an injured iit student who had a laceration of her ring finger.","MEDICAL INCIDENT","NA",NA,NA
"51","suspicious person","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-02-20 14:11:00,NA,"suspicious person at kent law school.","SUSPICION","41.8791377,-87.6422057",41.8791377,-87.6422057
"52","drug/narcotic offense","illinois institute of technology: main campus:: mccormick student village","3241 south wabash ave",NA,NA,2015-02-20 20:12:00,NA,"iitpsd responded to msv for a smell of marijuana.","NARCOTICS","41.8355909,-87.6249574",41.8355909,-87.6249574
"53","disturbance","illinois institute of technology: main campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-02-20 22:35:00,NA,"iitpsd responded to the mtcc for a disturbance.","DISTURBANCE","41.8330588,-87.623592",41.8330588,-87.623592
"54","utility incident : water","illinois institute of technology: main campus: state street village","3301 south state",NA,NA,2015-02-21 15:15:00,NA,"iitpsd responded to ssv fl lanudry room for a water pipe that broke.","UTILITY INCIDENT","41.8346518,-87.6264893",41.8346518,-87.6264893
"55","injured/sick person : report only : general public/visitor","illinois institute of technology: main campus:: hermann union building","3241 south federal street",NA,NA,2015-02-21 16:30:00,NA,"iitpsd responded to a member of the general public that fainted and fell at hermann hall.","MEDICAL INCIDENT","41.8356669,-87.6283867",41.8356669,-87.6283867
"56","utility incident : water","illinois institute of technology: main campus:engineering 1",NA,NA,NA,2015-02-22 15:21:00,NA,"iitpsd responded to e1 for water leak.","UTILITY INCIDENT","NA",NA,NA
"57","miscellaneous incident","illinois institute of technology: main campus:: fraternity/sorority",NA,NA,NA,2015-02-22 15:29:00,NA,"iitpsd responded for an unusual occurance.","OTHER","NA",NA,NA
"58","alarm : smoke","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-02-22 19:11:00,NA,"iitpsd responded to a smoke alarm at msv. thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"59","damage to property","illinois institute of technology: main campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-02-19 09:00:00,NA,"iitpsd responded to the mccormick tribune campus center dock for a report of damage to property. thank you","DAMAGE TO PROPERTY","41.8330588,-87.623592",41.8330588,-87.623592
"60","injured/sick person : emergency medical transport/ambulance : student","illinois institute of technology: main campus: keatingsports center","3040 south wabash ave",NA,NA,2015-02-18 16:00:00,NA,"iitpsd responded to keating sports center for an emergency medical transport of an iit student.","MEDICAL INCIDENT","41.838997,-87.6255751",41.838997,-87.6255751
"61","harassment : phone","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-02-18 16:10:00,NA,"iitpsd responded to a report of telephone harassment at the kent college of law. thank you","DISTURBANCE","41.8791377,-87.6422057",41.8791377,-87.6422057
"62","disturbance","illinois institute of technology: main campus: mccormick studentvillage",NA,NA,NA,2015-02-16 14:50:00,NA,"iitpsd took a report of two students involved in a physical altercation. thank you","BATTERY","NA",NA,NA
"63","well being check","illinois institute of technology: main campus: mccormick student village -","3241 south wabash ave",NA,NA,2015-02-13 00:55:00,NA,"a well being check was made on student.","WELL BEING CHECK","41.8355909,-87.6249574",41.8355909,-87.6249574
"64","well being check","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-02-14 10:21:00,NA,"iitpsd responded to mccormick student village, 3241 s. wabash, to perform a well being check on a student.","WELL BEING CHECK","41.8355909,-87.6249574",41.8355909,-87.6249574
"65","disturbance","illinois institute of technology: main campus: perlstein hall","10 west 33rd street",NA,NA,2015-02-14 13:25:00,NA,"iitpsd observed a disturbance occurring in perlstein hall, 10 w. 33rd, involving an iit student.","DISTURBANCE","41.835479,-87.6271529",41.835479,-87.6271529
"66","trespassing : criminal trespass to land","illinois institute of technology: main campus: galvin library","35 west 33rd street",NA,NA,2015-02-14 14:12:00,NA,"iitpsd responded to galvin library, for a report of a theft in progress. offender was detained and the property was returned to its owner.","THEFT","41.8346762,-87.6275327",41.8346762,-87.6275327
"67","utility incident : water","illinois institute of technology: main campus: main building","3300 south federal street",NA,NA,2015-02-15 10:10:00,NA,"iitpsd responded to the main building for a water main break.","UTILITY INCIDENT","41.8317456,-87.6272461",41.8317456,-87.6272461
"68","utility incident : water","illinois institute of technology: main campus: 3424",NA,NA,NA,2015-02-15 13:05:00,NA,"iitpsd responded to a water main break in the 3424 building. thank you","UTILITY INCIDENT","NA",NA,NA
"69","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: galvin library","35 west 33rd street",NA,NA,2015-02-12 12:46:00,NA,"iitpsd responded to galvin library, 35 w. 33rd, for a report of an injured iit student. the student was transported to the student health and wellness center and then mercy hospital. thank you","MEDICAL INCIDENT","41.8346762,-87.6275327",41.8346762,-87.6275327
"70","injured/sick person : report only ","illinois institute of technology: main campus:engineering 1",NA,NA,NA,2015-02-11 08:10:00,NA,"iitpsd received a phone call from a member of general public to make a delayed report of a slip and fall accident, which occurred on 02/07/15, near engineering one,.","MEDICAL INCIDENT","NA",NA,NA
"71","injured/sick person : emergency medical transport/ambulance : employee/staff/faculty","illinois institute of technology: main campus: engineering 1",NA,NA,NA,2015-02-11 17:20:00,NA,"an abm employee was injured and transported to mercy hospital by cfd.","MEDICAL INCIDENT","NA",NA,NA
"72","alarm : fire","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-02-11 17:45:00,NA,"iitpsd responded to msv for an activated fire alarm. burnt food was located in a microwave. no flame.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"73","larceny/theft : other","illinois institute of technology: main campus: keating sports center","3040 south wabash ave",NA,NA,2015-02-11 19:13:00,NA,"iitpsd responded to farr hall for a theft report that occurred at keating sports center thank you","THEFT","41.838997,-87.6255751",41.838997,-87.6255751
"74","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-02-10 18:00:00,NA,"iitpsd responded to the iit tower for a non-emergency medical transport of an iit student. thank you","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"75","accident : motor vehicle","illinois institute of technology: main campus: street locations","e 31st street and south state","41.837268","-87.626259",2015-02-06 10:55:00,NA,"iitpsd responded to the a4 parking lot, for a report of a hit and run occurring on state st. between 32nd st. and 33rd st.","ACCIDENT","41.8382962,-87.6265929",41.8382962,-87.6265929
"76","miscellaneous incident","illinois institute of technology: main campus: b2 lot","w 31st street and south federal","41.838044","-87.628779",2015-02-07 04:50:00,NA,"parking stop from b2 lot found pushed on to federal at 31st street.","OTHER","41.8382603,-87.6289524",41.8382603,-87.6289524
"77","damage to property","illinois institute of technology: main campus: hermann union building","3241 south federal street",NA,NA,2015-02-07 05:40:00,NA,"damage to property at the bog","DAMAGE TO PROPERTY","41.8356669,-87.6283867",41.8356669,-87.6283867
"78","disturbance","illinois institute of technology: main campus",NA,NA,NA,2015-02-08 15:00:00,NA,"iitpsd responded to a disturbance involving a general public member.","DISTURBANCE","NA",NA,NA
"79","drug/narcotic offense","illinois institute of technology: main campus: carmen hall","60 east 32nd street",NA,NA,2015-02-08 22:09:00,NA,"iitpsd responded to carmen hall for smell of marajuana. thank you","NARCOTICS","41.8366771,-87.6246551",41.8366771,-87.6246551
"80","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-02-05 09:15:00,NA,"iitpsd responded to the mccormick tribune campus center, for a report of an injured iit student. thank you","MEDICAL INCIDENT","41.8330588,-87.623592",41.8330588,-87.623592
"81","accident : motor vehicle","illinois institute of technology: main campus: street locations","3424 south state street",NA,NA,2015-02-04 12:15:00,NA,"iitpsd responded to technology park, for a delayed report of a three vehicle accident, which occurred near 34th st. and state st.","ACCIDENT","41.8325159,-87.6271296",41.8325159,-87.6271296
"82","drug/narcotic offense","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-02-04 17:00:00,NA,"iitpsd responded to msv for a narcotics violation. thank you","NARCOTICS","41.8355909,-87.6249574",41.8355909,-87.6249574
"83","injured/sick person","illinois institute of technology","35 west 34th street",NA,NA,2015-02-03 08:10:00,NA,"iitpsd was notified of a slip and fall incident involving an iitri employee that occurred in the d-5 parking lot.","MEDICAL INCIDENT","41.8328143,-87.628466",41.8328143,-87.628466
"84","injured/sick person","illinois institute of technology","10 west 35th street",NA,NA,2015-02-03 10:03:00,NA,"iitpsd was notified of a slip and fall involving a tower employee that occurred in the d-5 parking lot.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"85","accident : motor vehicle","illinois institute of technology: main campus: b4 lot",NA,NA,NA,2015-02-03 11:25:00,NA,"iitpsd responded to the b4 parking lot, for a report of a minor motor vehicle accident involving a student.","ACCIDENT","NA",NA,NA
"86","accident : motor vehicle","illinois institute of technology: main campus: d5 lot","e 34th and south wabash","41.831964","-87.625441",2015-02-03 14:05:00,NA,"iitpsd responded to the d5 parking lot, for a report of a minor motor vehicle accident.","ACCIDENT","41.8328558,-87.6250128",41.8328558,-87.6250128
"87","alarm : fire","illinois institute of technology: main campus: mccormick studentvillage",NA,NA,NA,2015-02-03 18:00:00,NA,"iitpsd responded to msv for an activated fire alarm. it was later found that a student had burned food.","ALARM","NA",NA,NA
"88","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: keatingsports center","3040 south wabash ave",NA,NA,2015-02-03 21:45:00,NA,"iitpsd conducted a non-emergency medical transport, to mercy hospital, for a student who had broken his finger. thank you","MEDICAL INCIDENT","41.838997,-87.6255751",41.838997,-87.6255751
"89","alarm : security","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-02-02 18:14:00,NA,"security alarm activation at kent college of law. thank you","ALARM","41.8791377,-87.6422057",41.8791377,-87.6422057
"90","trespassing","illinois institute of technology: main campus: stuart building","10 west 31st street",NA,NA,2015-01-30 00:21:00,NA,"iiitpsd responded to a possible criminal trespass of a member of the general public at stuart building.","TRESPASS","41.8387343,-87.6273991",41.8387343,-87.6273991
"91","disturbance","illinois institute of technology: main campus: state street village","3301 south state",NA,NA,2015-01-31 01:07:00,NA,"iitpsd responded to a loud noise complaint. thank you","DISTURBANCE","41.8346518,-87.6264893",41.8346518,-87.6264893
"92","larceny/theft : bicycles","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-03-30 19:40:00,NA,"bicycle theft from kent college of law thank you","THEFT","41.8791377,-87.6422057",41.8791377,-87.6422057
"93","miscellaneous incident","illinois institute of technology: main campus: life science","3105 south dearborn street",NA,NA,2015-03-27 10:11:00,NA,"iitpsd responded to life science, 3105 s. dearborn, for a report of a strong odor.","OTHER","41.8395245,-87.6282449",41.8395245,-87.6282449
"94","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-03-27 13:45:00,NA,"iitpsd responded to the iit tower, 10 w. 35th st., for a report of an injured student requesting a non-emergency medical transport to mercy hospital.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"95","damage to property","illinois institute of technology: main campus: b2 lot","w 31st street and south federal","41.838044","-87.628779",2015-03-27 14:10:00,NA,"iitpsd responded to the b2 parking lot, 31st and federal, for a report of damage to property.","DAMAGE TO PROPERTY","41.8382603,-87.6289524",41.8382603,-87.6289524
"96","larceny/theft : other","illinois institute of technology: main campus: carmen hall","60 east 32nd street",NA,NA,2015-03-27 14:45:00,NA,"iitpsd responded to farr hall, 3300 s. michigan, for a report of a phone scam involving an iit student.","THEFT","41.8366771,-87.6246551",41.8366771,-87.6246551
"97","utility incident : gas","illinois institute of technology: main campus: siegelhall","3301 south dearborn street",NA,NA,2015-03-27 18:56:00,NA,"iitpsd responded to siegel hall for the smell of gas.","UTILITY INCIDENT","41.8344021,-87.6276562",41.8344021,-87.6276562
"98","injured/sick person : non-emergency medical transport","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-03-28 00:17:00,NA,"a student from msv wanted to be transported to the emergency room for a foot injury.","MEDICAL INCIDENT","41.8355909,-87.6249574",41.8355909,-87.6249574
"99","robbery","illinois institute of technology: off campus location",NA,NA,NA,2015-03-28 03:30:00,NA,"iitpsd responded to a delayed report by an iit student who was a victim of an off campus strong arm robbery.","ROBBERY","NA",NA,NA
"100","alarm : fire","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-03-28 15:55:00,NA,"iitpsd responded to msv for a fire alarm set off by smoke caused by burnt microwaved popcorn.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"101","suspicious activity","illinois institute of technology: main campus","10 west 35th street",NA,NA,2015-03-29 01:14:00,NA,"iitpsd observed a tower tenant allowing unauthorized access to 3424 s. state.","OTHER","41.8313959,-87.6272312",41.8313959,-87.6272312
"102","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: carmen hall","60 east 32nd street",NA,NA,2015-03-29 08:35:00,NA,"iitpsd responded to carmen hall for an non-emergency medical transport involving an iit student. thank you","MEDICAL INCIDENT","41.8366771,-87.6246551",41.8366771,-87.6246551
"103","alarm : fire","illinois institute of technology: main campus: msv – fowler","3241 south wabash ave",NA,NA,2015-03-26 23:46:00,NA,"iitpsd responded to a fire alarm at mccormick student village caused by burnt food. thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"104","injured/sick person : report only : general public/visitor","illinois institute of technology: main campus: hermann union building","3241 south federal street",NA,NA,2015-03-25 16:17:00,NA,"iitpsd responded to hermann hall for an injured person. thank you","MEDICAL INCIDENT","41.8356669,-87.6283867",41.8356669,-87.6283867
"105","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: metals building","3350 south federal street",NA,NA,2015-03-24 17:45:00,NA,"iitpsd responded to the metals building for a non-emergency medical transport involving an iit student. thank you","MEDICAL INCIDENT","41.8337268,-87.6288487",41.8337268,-87.6288487
"106","administrative information","illinois institute of technology","35 west 34th street",NA,NA,2015-03-23 10:30:00,NA,"iitpsd responded to iitri tower for a non emergency medical transport for an iit student.","MEDICAL INCIDENT","41.8328143,-87.628466",41.8328143,-87.628466
"107","disturbance","illinois institute of technology: main campus: engineering 1",NA,NA,NA,2015-03-23 15:00:00,NA,"iitpsd responded to the e1 building for a disturbance involving an iit student.","DISTURBANCE","NA",NA,NA
"108","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-03-23 22:00:00,NA,"iitpsd responded to msv for a non-emergency medical transport for a student. thank you","MEDICAL INCIDENT","41.8355909,-87.6249574",41.8355909,-87.6249574
"109","larceny/theft : other","illinois institute of technology: off campus location","3300 south michigan ave",NA,NA,2015-03-20 16:35:00,NA,"iit student came to farr hall to make a report about being the victim of a scam over the internet.","OTHER","41.8346808,-87.6233541",41.8346808,-87.6233541
"110","accident : motor vehicle","illinois institute of technology: main campus: street locations: dearborn",NA,NA,NA,2015-03-20 20:00:00,NA,"vehicle hit a yellow bollard on dearborn.","ACCIDENT","NA",NA,NA
"111","injured/sick person : non-emergency medical transport","illinois institute of technology: main campus: state street village","3301 south state",NA,NA,2015-03-21 23:55:00,NA,"iitpsd responded to ssv middle for a sick student and made a non emergency transport to mercy hospital. thank you","MEDICAL INCIDENT","41.8346518,-87.6264893",41.8346518,-87.6264893
